close,volume,ADX,APO,CCI,MACD_Signal,MACD_Hist,OBV,RSI,SlowD,WMA,day_var_range,stock_id,Bband_width,day_diff,ATR,day_cos,target,last_target
59.0,15.253590829616456,30.7542,0.5032,35.7599,0.5498,-0.6394,15.946737891484878,47.8555,62.1942,14.0668,0.025423728813559324,0,0.058769585122415945,0.012875536480686695,0.023431075335711222,1.0,0,0.0
57.75,14.987001801949457,30.7542,0.5032,35.7599,0.5498,-0.6394,14.494356461015503,47.8555,62.1942,14.0668,0.028225108225108146,0,0.058769585122415945,-0.015009380863039443,0.023431075335711222,0.6234898018587336,0,0.0
56.88,15.191426499113925,30.7542,0.5032,35.7599,0.5498,-0.6394,-15.598195814102553,47.8555,62.1942,14.0668,0.02971167369901543,0,0.058769585122415945,-0.00542052806434683,0.023431075335711222,-0.22252093395631434,0,0.0
56.69,15.142187867623196,30.7542,0.5032,35.7599,0.5498,-0.6394,-16.416925431180733,47.8555,62.1942,14.0668,0.02540130534485796,0,0.058769585122415945,-0.01408695652173917,0.023431075335711222,-0.900968867902419,0,0.0
58.13,15.22766782222709,30.7542,0.5032,35.7599,0.5498,-0.6394,-15.478148136504105,47.8555,62.1942,14.0668,0.013934285222776451,0,0.058769585122415945,0.0032792544011046743,0.023431075335711222,-0.9009688679024191,1,0.0
58.81,14.821642359468864,30.7542,0.5032,85.9907,0.5498,-0.6394,12.189948344888194,47.8555,62.1942,14.1581,0.021254888624383607,0,0.054421144080067256,0.015015533310321101,0.023431075335711222,1.0,1,1.0
57.69,14.6167050914,30.7542,0.5032,30.7457,0.5498,-0.6394,-15.264686051887166,36.3636,62.1942,14.1612,0.027041081643265772,0,0.05433155382312228,-0.01904438020744779,0.023431075335711222,0.6234898018587336,0,1.0
57.88,14.761166286893195,30.7542,0.5032,-11.2179,0.5498,-0.6394,13.698303481411598,39.4471,62.1942,14.1808,0.02159640635798203,0,0.04752200157960057,0.014370837714686299,0.023431075335711222,-0.22252093395631434,1,0.0
56.75,14.700228472830018,30.7542,0.5032,-141.8234,0.5498,-0.6394,-15.190541979637137,29.0005,62.1942,14.0919,0.02537444933920701,0,0.046438024680845076,-0.018335928040131504,0.023431075335711222,-0.900968867902419,0,1.0
57.5,14.697748416369356,30.7542,0.5032,-73.9272,0.5498,-0.6394,13.684719407444625,41.7899,51.0821,14.0632,0.016347826086956483,0,0.046191478468627305,0.008771929824561403,0.023431075335711222,-0.9009688679024191,1,0.0
58.25,14.83468309603258,25.5917,0.5032,80.8266,0.5498,-0.6394,15.674804213092338,52.4881,41.2721,14.1059,0.01390557939914167,0,0.03455291757349768,0.013043478260869565,0.022279260394269456,1.0,1,1.0
59.25,15.003171341731688,27.8432,0.5032,130.9338,0.5498,-0.6394,16.378766251216724,63.6289,50.9058,14.2393,0.02531645569620253,0,0.056870773141938225,0.01612073400788883,0.021988395141378896,0.6234898018587336,1,1.0
59.94,15.18985910107016,32.8121,0.5032,113.3005,0.5498,-0.6394,16.85444603670475,69.7472,68.6413,14.4035,0.025025025025025027,0,0.07822404276738303,0.021298347248253538,0.021519730273979853,-0.22252093395631434,1,1.0
60.44,15.008887726272443,39.1806,0.5032,107.8461,0.5498,-0.6394,17.128947227409817,73.7475,86.7071,14.5749,0.025810721376571845,0,0.07232982730584771,0.007333333333333295,0.02156067187715124,-0.900968867902419,1,1.0
