close,volume,ADX,APO,CCI,MACD_Signal,MACD_Hist,OBV,RSI,SlowD,WMA,day_var_range,stock_id,Bband_width,day_diff,ATR,day_cos,target,last_target
558.46,9.48044384215367,29.0821,-0.3937,166.6667,-0.5409,0.2211,12.476103599529843,81.9728,16.1483,27.9838,0.027002829208895966,1,0.030685610960627184,-0.01679577464788726,0.034174758234072275,-0.900968867902419,0,0.0
559.99,10.623787731088578,29.0821,-0.3937,166.6667,-0.5409,0.2211,13.896169383490529,81.9728,16.1483,27.9838,0.013857390310541243,1,0.030685610960627184,-0.0021560940841055527,0.034174758234072275,-0.9009688679024191,1,0.0
556.97,9.287394001418473,29.0821,-0.3937,166.6667,-0.5409,0.2211,13.673948145715556,81.9728,16.1483,27.9838,0.018079968400452538,1,0.030685610960627184,-0.01749898569387352,0.034174758234072275,1.0,0,1.0
567.16,8.974744612722734,29.0821,-0.3937,166.6667,-0.5409,0.2211,13.841179279371246,81.9728,16.1483,27.9838,0.01717328443472743,1,0.030685610960627184,0.01512412521701765,0.034174758234072275,0.6234898018587336,1,0.0
567.0,11.896151780740423,29.0821,-0.3937,166.6667,-0.5409,0.2211,-14.461566655099245,81.9728,16.1483,27.9838,0.07520282186948851,1,0.030685610960627184,0.0033515835967057603,0.034174758234072275,-0.22252093395631434,0,1.0
569.74,15.441845114707185,29.0821,-0.3937,61.4357,-0.5409,0.2211,18.41863867033858,81.9728,16.1483,28.1133,0.040632569242110395,1,0.03421867941508111,-0.00019303325436520775,0.034174758234072275,-0.900968867902419,1,0.0
543.14,15.664264696145334,29.0821,-0.3937,-101.3925,-0.5409,0.2211,-17.120270494697447,28.4142,16.1483,27.7652,0.06401664395920018,1,0.07048391511676477,-0.054833376838075334,0.034174758234072275,-0.9009688679024191,0,1.0
538.15,15.294748892538067,29.0821,-0.3937,-128.165,-0.5409,0.2211,-18.560738303498027,24.6392,16.1483,27.3903,0.039635789278082395,1,0.09799089458676981,-0.004789732588674838,0.034174758234072275,1.0,0,0.0
554.9,14.960561358945972,29.0821,-0.3937,-41.6806,-0.5409,0.2211,-17.770248184963652,51.6126,16.1483,27.3549,0.02413047395927192,1,0.09098552727299304,0.022668632510136295,0.034174758234072275,0.6234898018587336,1,0.0
564.14,15.015987559084122,29.0821,-0.3937,37.5914,-0.5409,0.2211,16.47240787587345,61.191,22.5157,27.513,0.022015811677952208,1,0.08666812052484277,0.008076909331331943,0.034174758234072275,-0.22252093395631434,1,1.0
540.95,15.208234455246872,26.2623,-0.3937,-21.7181,-0.5409,0.2211,-18.009157336351386,37.7487,31.7793,27.2968,0.04639985211202518,1,0.07115852407608214,-0.042566371681415846,0.0361144605243852,-0.900968867902419,0,1.0
530.6,15.180096231408491,28.1027,-0.3937,-104.5548,-0.5409,0.2211,-18.78910836087618,31.1015,37.2401,27.0045,0.025386355069732428,1,0.08901479383065787,-0.003661628016148591,0.03726735700030432,-0.9009688679024191,0,0.0
532.52,14.758638333200013,27.2846,-0.3937,-72.5493,-0.5409,0.2211,-18.350108064511428,33.8044,30.7692,26.7856,0.027302260947945595,1,0.09629801087151305,-0.0106456107756619,0.03818958625505363,1.0,1,0.0
536.44,15.162154373566187,30.011,-0.3937,-67.338,-0.5409,0.2211,-16.606430298253528,39.8288,24.0723,26.6501,0.03726399970173744,1,0.09044618969534834,-0.0007078722849372144,0.04019865778175462,0.6234898018587336,1,1.0
556.54,15.400635490738303,24.7668,-0.3937,93.844,-0.5409,0.2211,18.21368118676128,61.9968,28.1073,26.9085,0.030545872713551588,1,0.0684356244309419,0.024935543278084647,0.035732962866160935,-0.22252093395631434,1,1.0
536.1,15.73109418587157,22.358,-0.3937,12.8699,-0.5409,0.2211,-17.814004812872778,42.2233,40.636,26.8537,0.03422868867748558,1,0.06888063842226591,-0.023159198994187283,0.03509257480969845,-0.900968867902419,0,1.0
528.62,14.755401012759458,22.3665,-0.3937,-76.9246,-0.5409,0.2211,-18.47621006320469,36.8474,50.6054,26.6912,0.020998070447580536,1,0.07197877952283895,-0.013952620779705311,0.03079071745853649,1.0,0,0.0
