close,volume,ADX,APO,CCI,MACD_Signal,MACD_Hist,OBV,RSI,SlowD,WMA,day_var_range,Bband_width,day_diff,ATR,day_cos,target,last_target
105.1,14.863566473634013,46.6013,-0.7293,74.3243,-0.8678,-0.4457,15.556713478884582,44.7761,28.9513,26.7859,0.016175071360608972,0.041928775960486706,-0.001899335232668593,0.017324806145635772,1.0,0,0.0
102.5,15.121489528402662,46.6013,-0.7293,74.3243,-0.8678,-0.4457,-14.333352112429521,44.7761,28.9513,26.7859,0.03707317073170729,0.041928775960486706,-0.02473834443387245,0.017324806145635772,0.6234898018587336,0,0.0
104.3,14.731321574793563,46.6013,-0.7293,74.3243,-0.8678,-0.4457,15.015234649278167,44.7761,28.9513,26.7859,0.01534036433365287,0.041928775960486706,0.0028846153846153575,0.017324806145635772,-0.22252093395631434,1,0.0
105.3,14.973366436832126,46.6013,-0.7293,74.3243,-0.8678,-0.4457,16.086130258199454,44.7761,28.9513,26.7859,0.01044634377967706,0.041928775960486706,0.0028571428571428303,0.017324806145635772,-0.900968867902419,1,1.0
105.5,15.051737848297627,46.6013,-0.7293,74.3243,-0.8678,-0.4457,16.623140659113126,44.7761,28.9513,26.7859,0.01327014218009484,0.041928775960486706,-0.0047169811320754715,0.017324806145635772,-0.9009688679024191,1,1.0
104.4,14.622790118639156,46.6013,-0.7293,-4.6481,-0.8678,-0.4457,16.307641135575107,44.7761,28.9513,26.774,0.019157088122605363,0.04056173900052284,-0.011363636363636256,0.017324806145635772,1.0,0,1.0
103.6,14.560491361907763,46.6013,-0.7293,-86.6966,-0.8678,-0.4457,15.879102277211064,38.961,28.9513,26.7058,0.020270270270270355,0.026683342195328294,-0.017077798861480184,0.017324806145635772,0.6234898018587336,0,0.0
103.0,14.804717494977014,46.6013,-0.7293,-128.2051,-0.8678,-0.4457,14.7302004091124,34.7323,28.9513,26.5678,0.011650485436893232,0.0369658007061179,0.004878048780487805,0.017324806145635772,-0.22252093395631434,0,0.0
103.8,14.143663283223038,46.6013,-0.7293,-52.9101,-0.8678,-0.4457,15.478072278373185,44.7304,28.9513,26.5201,0.010597302504816901,0.0326808722440714,0.006789524733268699,0.017324806145635772,-0.900968867902419,1,0.0
103.8,14.218773910653582,46.6013,-0.7293,-9.7158,-0.8678,-0.4457,15.92768559023531,48.2019,25.6364,26.5218,0.01926782273603083,0.018211433613103203,-0.0019230769230769505,0.017324806145635772,-0.9009688679024191,0,1.0
103.5,14.292676600777307,41.8821,-0.7293,5.0029,-0.8678,-0.4457,15.433551557492425,44.4524,32.1688,26.522,0.012560386473430062,0.013890355176834237,-0.002890173410404597,0.01696333765691788,1.0,0,0.0
106.1,14.89392047945086,40.4291,-0.7293,166.6667,-0.8678,-0.4457,16.206399617194414,69.855,47.5395,26.755,0.018850141376060323,0.04381237151934218,0.017257909875359512,0.015141034721353183,0.6234898018587336,1,0.0
105.6,14.714533455239106,41.5622,-0.7293,99.1793,-0.8678,-0.4457,15.608735785776505,62.9364,60.874,26.8978,0.014204545454545456,0.04251277056116125,-0.002832861189801807,0.015027452833442442,-0.22252093395631434,0,1.0
104.4,14.365480545815185,33.6888,-0.7293,-12.1043,-0.8678,-0.4457,14.748619468093649,48.5197,70.4452,26.8889,0.013409961685823809,0.03854006671898072,-0.004766444232602478,0.015323814624057117,-0.900968867902419,0,0.0
105.2,14.241758858209373,27.4092,-0.7293,-2.3641,-0.8678,-0.4457,15.539241155194242,56.7716,68.3003,26.9334,0.013307984790874578,0.0349380323316031,0.007662835249042118,0.015327598885135092,-0.9009688679024191,1,0.0
105.3,14.312947552698628,25.1474,-0.7293,5.618,-0.8678,-0.4457,16.00093253561163,57.8278,61.4311,26.9624,0.013295346628679882,0.021162804498115854,0.0019029495718363735,0.014741424735742543,1.0,1,1.0
104.0,14.560111495037035,21.7622,-0.7293,-87.3016,-0.8678,-0.4457,15.359492408448947,41.3929,51.3528,26.8496,0.013461538461538516,0.022912818068053214,-0.008579599618684515,0.014060551554869358,0.6234898018587336,0,1.0
104.8,14.403964222594832,19.054,-0.7293,-27.0655,-0.8678,-0.4457,15.930029746948119,51.9069,45.229,26.8411,0.012404580152671865,0.018650502401168306,0.011583011583011612,0.014135961026447222,-0.22252093395631434,1,0.0
103.2,13.416823924002916,19.2187,-0.7293,-106.576,-0.8678,-0.4457,15.753273465337971,35.8351,35.6285,26.7095,0.018410852713178213,0.030517231696587266,-0.017142857142857116,0.014917316047283354,-0.9009688679024191,0,1.0
105.1,14.527676234940708,25.0741,-0.7293,-45.7746,-0.8678,-0.4457,16.21522245243314,56.0395,36.9991,26.7608,0.03330161750713606,0.029815999521688383,0.020388349514563052,0.01632069552439388,1.0,1,0.0
103.8,14.363921519925038,29.7583,-0.7293,-30.303,-0.8678,-0.4457,15.838249596566936,44.1497,38.8769,26.7027,0.010597302504817038,0.026424294172499425,-0.004793863854266539,0.016124387127532575,0.6234898018587336,0,1.0
102.5,14.64519753884894,38.6474,-0.7293,-166.6667,-0.8678,-0.4457,14.905351490515296,34.8951,50.1823,26.5591,0.022439024390244013,0.03745985368480111,-0.0077444336882865165,0.016483275428950943,-0.22252093395631434,0,0.0
100.1,14.999382996674376,47.5328,-0.7293,-139.0013,-0.8678,-0.4457,-15.085327561908526,23.5184,46.7284,26.2362,0.02297702297702295,0.06476547670775498,-0.010869565217391389,0.017360523181198694,-0.900968867902419,0,0.0
