date,open,high,low,close,volume,ADX,APO,Real Upper Band,Real Middle Band,Real Lower Band,CCI,MACD,MACD_Signal,MACD_Hist,OBV,RSI,SlowK,SlowD,shares_outstanding_basic,WMA
1999-12-30,93.0,94.5,93.0,93.5,1223900.0,28.5912,-0.1734,25.2766,24.3354,23.3942,-70.6056,-0.6647,-1.111,0.4463,-15374200.0,45.8641,39.753,64.0612,2809800000.0,24.1742
1999-12-31,93.5,94.38,93.13,93.25,685600.0,23.4637,-0.1396,25.1964,24.217,23.2375,-57.6311,-0.5788,-1.0294,0.4505,-16745400.0,44.4045,22.5853,42.243,2809800000.0,24.03
2000-01-03,93.13,93.75,91.69,92.19,2321200.0,24.7642,-0.1365,24.5197,23.9319,23.3441,-109.3524,-0.5075,-0.9332,0.4257,-21387800.0,37.9957,17.5065,26.6149,2809800000.0,23.8347
2000-01-04,91.13,91.56,88.75,88.81,3911100.0,31.622,-0.2235,24.4563,23.592,22.7277,-162.0771,-0.49,-0.8342,0.3443,-29210000.0,24.1201,9.0797,16.3905,2809800000.0,23.4456
2000-01-05,88.81,90.81,88.44,90.19,4114800.0,37.5333,-0.2680,24.4066,23.4767,22.5467,-81.2203,-0.4431,-0.7307,0.2876,-20980400.0,36.0406,12.6451,13.0771,2809800000.0,23.2877
2000-01-06,90.31,93.94,90.13,92.56,2678200.0,30.5493,-0.2543,24.2729,23.4285,22.5841,29.3414,-0.3199,-0.6302,0.3103,-15624000.0,52.1708,33.0149,18.2465,2809800000.0,23.3707
2000-01-07,94.13,96.94,93.63,96.5,4931900.0,31.2271,-0.1446,24.9327,23.5951,22.2575,138.0014,-0.1433,-0.5342,0.3909,-5760200.0,68.6175,64.3539,36.6713,2809800000.0,23.8065
2000-01-10,96.69,96.94,94.06,94.06,2464300.0,31.7693,-0.1110,25.0923,23.691,22.2896,73.5961,-0.0303,-0.4406,0.4103,-10688800.0,54.1922,76.7671,58.0453,2809800000.0,23.9782
2000-01-11,93.0,94.94,92.94,94.06,3076500.0,27.971,-0.0646,25.0223,23.9601,22.898,22.7847,-0.0309,-0.3565,0.3256,-10688800.0,54.1922,75.6863,72.2691,2809800000.0,24.118
2000-01-12,93.88,95.06,93.19,93.5,2581600.0,25.2938,-0.0296,24.7978,24.1298,23.4618,-17.2494,-0.0891,-0.2926,0.2035,-15852000.0,50.3931,60.5738,71.0091,2809800000.0,24.1202
